Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-8169,1503343,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-Geo Adjustments (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8168,1503342,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-DPY-Sales Adjustments (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8167,1503341,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-Customer Sales Adjustments (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8166,1503340,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - Manual Installation Upload (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8165,1503339,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Quota - RAW-Cust Monthly Quota Delta (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8164,1503338,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Quota - RAW-Customer Annual Quota (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8163,1503337,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Quota - RAW-Customer Monthly Quota (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8162,1503336,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Quota - RAW-Geography Monthly Quota (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8161,1503335,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Product - RAW-SPN-Prod Hierarchy Lifenet (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8160,1503334,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Product - Manual Product Upload (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8159,1503333,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Product - RAW-SPN-Crosswalk Hierarchy (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8158,1503332,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Product - RAW-ALN-Manual Product Upload (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8157,1503331,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Customer - Manual Customer Upload (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8156,1503330,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Customer - RAW-SPN-Lifenet Cust Crosswalk (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8155,1503329,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Customer - RAW-ALN-Manual Customer Upload (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8154,1503328,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Customer - RAW-ALN-Customer Account Xref (SPN),Open,,Spine,,2,,,,,,,,,Mormont,,,,,,,Spine,,,,,,,,,,,
Story,AAKO-8153,1503327,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-Prod Hierarch Data (MIT),Open,,MIT,,2,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8152,1503326,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-MyVisco Tracings (MIT),Open,,MIT,,2,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8151,1503325,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-Medline (MIT),Open,,MIT,,2,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8150,1503324,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-ICore (MIT),Open,,MIT,,2,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8149,1503323,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-HCS Tracings (MIT),Open,,MIT,,2,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8148,1503322,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-DDD Sales (MIT),Open,,MIT,,2,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8147,1503321,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-CareMed Transfers (MIT),Open,,MIT,,2,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8146,1503320,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-CareMed (MIT),Open,,MIT,,2,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8145,1503319,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-CareMark (MIT),Open,,MIT,,2,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8144,1503318,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Quota - RAW-Zip Monthly Quota (MIT),Open,,MIT,,2,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8143,1503317,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Product - RAW-MIT-Platform Definition (MIT),Open,,MIT,,2,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8141,1503315,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-ETH-Sales Adjustments (ETH),Open,,ETH,,2,,,,,,,,,Mormont,,,,,,,ETH,,,,,,,,,,,
Story,AAKO-8140,1503314,6/14/18 16:59,AAKO-8074,6/14/18 16:58,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-CSS-Sales Adjustments (CSS),Open,,CSS,,2,,,,,,,,,Mormont,,,,,,,CSS,,,,,,,,,,,
Story,AAKO-8087,1503151,6/19/18 12:40,AAKO-4887,6/14/18 16:20,Lead Gen / Conversion Workflow for Kickout Reassignments and Team Territory Overrides,Open,,Trauma,,,,Trauma,,,,,,,Targaryen,,,,,,,Trauma,,,,,,,,,,,
Story,AAKO-8085,1502147,6/14/18 16:38,AAKO-3957,6/14/18 12:32,Recon Sales Exclusions  - Divested Sales Legal Requirements,Open,,Recon - Direct ,,,,Recon,,,,,,,Targaryen,,,,,,,Recon - Direct ,,,,,,,,,,,
Story,AAKO-8052,1494598,6/25/18 10:13,AAKO-3982,6/12/18 7:43,Deployment Reporting - (2 of 3): Territory Structure Report,Open,,Spine,,,,FirstBU,,,,,,,Stark,,,AAKO - Stark - C.3,,,,Spine,,,,AAKO-8051,,,,,,,
Story,AAKO-8051,1494622,6/25/18 14:33,AAKO-3982,6/12/18 7:25,Customers Aligned to Participants: Deployment: Account Level Report,Open,,Spine,,8,,FirstBU,,,,,,,Stark,,,AAKO - Stark - C.1,,,,Spine,,,,AAKO-5476,,,,,,,
Story,AAKO-8050,1491268,6/14/18 16:42,AAKO-4885,6/11/18 13:24,Sterilmed(Megadyne) - Load Product Master from PAS Product Hierarchy,Open,,ETH,,,,Ethicon,,,,,,,Targaryen,,,,,,,ETH,,,,,,,,,,,
Story,AAKO-8044,1491214,6/14/18 13:54,AAKO-3983,6/11/18 12:08,Full-year Quota & Baseline Views - Analyst Access,Open,,Spine,,8,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.2,,,,Spine,,,,AAKO-6695,,AAKO-6990,AAKO-6697,,,,
Story,AAKO-8043,1490564,6/21/18 10:02,AAKO-3987,6/11/18 9:56,Update the Portal links for Roles,Open,,Spine,,5,,FirstBU,MUST,,,,,,Lannister,,,AAKO-Lannister - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-8042,1490453,6/25/18 12:45,AAKO-4890,6/11/18 9:08,Warning - Participant Crediting <>100% based on Customer Share Exception,Open,,Spine,,8,,COULD,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C2,,,,Spine,,,,,,,,,,,
Story,AAKO-8041,1490447,6/25/18 12:15,AAKO-4890,6/11/18 9:04,Warning when No Participant is credited for Sales,Open,,Spine,,3,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-7978,1487884,6/20/18 11:37,AAKO-3983,6/8/18 11:11,Full-year Quota & Baseline View by Territory,Open,,Spine,,8,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.2,,,,Spine,,,,AAKO-6695,,AAKO-6990,AAKO-6697,,,,
Story,AAKO-7977,1487880,6/20/18 11:37,AAKO-3983,6/8/18 10:59,Full-year Quota & Baseline View by Customer,Open,,Spine,,8,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.2,,,,Spine,,,,AAKO-6695,,AAKO-6990,AAKO-6697,,,,
Story,AAKO-7900,1484427,6/21/18 9:23,AAKO-297,6/7/18 8:44,Admin/Cleanup Tasks: System/Portal Cleanup - Component/Table/Link Naming Conventions (no config/build),Reopened,,Spine,,3,,FirstBU,,,,,,,Mormont,,,AAKO - Mormont - Corbett.1,,,,Spine,,,,,,,,,,,
Story,AAKO-7857,1482885,6/25/18 14:43,AAKO-3978,6/6/18 18:05,Validation Warning  - WWID Level Alliance ,Open,,Spine,,3,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C2,,,,Spine,,,,,,,,,,,
Story,AAKO-7856,1482249,6/13/18 18:19,AAKO-22,6/6/18 13:48,Update Geo Sales Adjustment Audit with Date/Time instead of just Date ,Completed,Done,Spine,,5,,Spine,,,,,,,Targaryen,Done,6/13/18 18:19,AAKO-Targaryen - IPC,,,,Spine,,,,,,,,,,,
Story,AAKO-7851,1481095,6/20/18 8:15,AAKO-3982,6/6/18 9:40,Studio Apps - Internal Analyst Portal Cleanup/Move Links,Completed,Done,Spine,,3,,FirstBU,,,,,,,Mormont,Done,6/20/18 8:15,AAKO - Mormont - IP Sprint,,,,Spine,,,,,,,,,,,
Story,AAKO-7837,1477999,6/25/18 8:00,AAKO-3983,6/5/18 9:33,C.1 Updates & Enhancements,Open,,Spine,,3,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.2,,,,Spine,,,,AAKO-7026,,,,,,,
Story,AAKO-7804,1466849,6/20/18 14:55,AAKO-3957,5/31/18 7:23,Sales Exclusions - Update to GEO Crediting exclusions - Option #3  (SD) ,Open,,Spine,,13,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C3,,,,Spine,,,,,,,,,,,
Story,AAKO-7794,1462675,6/25/18 11:39,AAKO-10,5/29/18 15:44,SPN: All Aligned Sales - Data View at Customer/Invoice Level  SD,Open,,Spine,,5,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C1,,,,Spine,,,,,,,,,,,
Story,AAKO-7721,1452656,6/25/18 14:34,AAKO-4903,5/24/18 11:53,[Delete]Common Payment Process - Update Ethicon and CSS metrics to Process Termed Participant,In Progress,,ETH,,,,FirstBU,PI-B,,,,,,Lannister,,,,,,,ETH,,,,AAKO-162,,,,,,,
Story,AAKO-7702,1452634,6/25/18 14:33,AAKO-4903,5/24/18 11:51,[Delete]Common Payment Process - Update JR metrics to Process Termed Participant,Open,,,,,,Recon-Direct,,,,,,,Lannister,,,,,,,Recon - Direct ,Recon - Distributer,,,AAKO-162,,,,,,,
Story,AAKO-7683,1452609,6/25/18 14:32,AAKO-4903,5/24/18 11:48,"[Delete]Common Payment Process-Update TRM, CMF, MIT and DPS Mgr metrics to Process Termed Participant",In Progress,,Trauma,,,,DPS,,,,,,,Lannister,,,,,,,Trauma,,,,AAKO-162,,,,,,,
Story,AAKO-7626,1451794,6/5/18 14:27,AAKO-2277,5/24/18 9:44,Harmonize the workflow from backend configuration perspective,Completed,Done,Spine,,3,,,,,,,,,Mormont,Done,6/5/18 14:27,AAKO - Mormont - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7515,1449853,6/1/18 15:48,AAKO-4889,5/23/18 16:27,Update Geography Entity to include a new level (5) to the entity and process,Completed,Done,Spine,,5,,Spine,,,,,,,Targaryen,Done,6/1/18 15:48,AAKO-Targaryen - Bandhavgarh.4,,,,Spine,,AAKO-7437,,,,,,,,,
Story,AAKO-7443,1446585,6/25/18 16:15,AAKO-3982,5/22/18 15:29,Story to test scenarios w/ current dependencies,Open,,Spine,,5,,SHOULD,,,,,,,Stark,,,AAKO - Stark - C.4,,,,Spine,,,,AAKO-6997,,AAKO-7839,,,,,
Story,AAKO-7440,1446005,6/6/18 18:52,AAKO-3970,5/22/18 13:41,"MITEK EI Quota - Ability to UL Zip Quotas w/ DDD # or IMS ID, Use INV Realign. to Apply Crediting Exception",Open,,MIT,,,,Mitek,,,,,,,Targaryen,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-7439,1445635,6/11/18 13:19,AAKO-3963,5/22/18 10:59,Update to Geo Crediting (EDPY) - for IC Graft ID update,Open,,MIT,,3,,Ethicon,,,,,,,Targaryen,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-7359,1431898,6/18/18 13:33,AAKO-3983,5/16/18 11:10,Statements: Release Process,Completed,Done,Spine,,5,,Spine,,,,,,,Stark,Done,6/18/18 13:33,AAKO - Stark - IP Sprint,,,,Spine,,,,AAKO-7022,,,,,,,
Story,AAKO-7351,1425654,6/5/18 11:52,AAKO-3977,5/14/18 17:53,JnJ Draw missing Component Earning Adjustment,Completed,Done,Spine,,5,,Spine,,,,,,,Lannister,Done,6/5/18 11:52,Lannister - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7338,1424288,6/7/18 7:58,AAKO-2277,5/14/18 10:14,Detective/Audit Reporting - Portal Setup (Drill-Throughs/Links),Completed,Done,Spine,,8,,FirstBU,Spine,,,,,,Mormont,Done,6/7/18 7:58,AAKO - Mormont - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7336,1423992,6/12/18 7:42,AAKO-2277,5/14/18 9:12,Preventative Approvals - Harmonized  Announcement & Email Notifications,Open,,Spine,,13,,Spine,,,,,,,Mormont,,,AAKO - Mormont - Corbett.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7056,1413688,5/24/18 9:43,AAKO-3983,5/9/18 12:36,B.2 - Complete Portal View Testing for Remaining Internal Analyst Views,Completed,Done,Spine,,2,,Spine,,,,,,,Stark,Done,5/24/18 9:43,Stark - Bandhavgarh.3,,,,Spine,,,,AAKO-7021,,,,,,,
Story,AAKO-7036,1410727,6/20/18 12:34,AAKO-2277,5/8/18 15:00,Detective Reporting/Approvals - Harmonized Announcements & Email Notifications,Open,,Spine,,8,,Spine,,,,,,,Mormont,,,AAKO - Mormont - Corbett.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7028,1405815,6/19/18 12:57,AAKO-3968,5/7/18 16:44,[TEST UAT] Quota Kicker - Year-End Sales>= Quota Bonus w/ 40% H1 Advance,Open,,MIT,,5,,Mitek,,,,,,,Lannister,,,AAKO-Lannister - C3,,,,MIT,,,,,,,,,,,
Story,AAKO-7026,1404630,6/19/18 10:42,AAKO-3983,5/7/18 10:48,B.4 Updates & Enhancements,Open,,Spine,,8,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.1,,,,Spine,,,,AAKO-7022,,,,,,,
Story,AAKO-7022,1398773,6/6/18 9:52,AAKO-3983,5/4/18 10:33,B.3 Updates & Enhancements,Completed,Done,Spine,,5,,Spine,,,,,,,Stark,Done,6/6/18 9:52,Stark - Bandhavgarh.4,,,,Spine,,,,AAKO-7021,,,,,,,
Story,AAKO-7021,1398772,5/18/18 7:32,AAKO-3983,5/4/18 10:31,B.2 Updates & Enhancements,Completed,Done,Spine,,5,,Spine,,,,,,,Stark,Done,5/18/18 7:32,Stark - Bandhavgarh.3,,,,Spine,,,,AAKO-6310,,,,,,,
Story,AAKO-7020,1397021,6/14/18 18:46,AAKO-8074,5/4/18 1:21,Data Uploads - RAW Portal View + Remap Post: PRM-Zip to Geography,Completed,Done,Spine,,2,,FirstBU,,,,,,,Mormont,Done,6/14/18 18:46,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7016,,,,,,,
Story,AAKO-7019,1397020,6/14/18 13:23,AAKO-8074,5/4/18 1:21,Data Uploads - RAW Portal View + Remap Post: PRM-Shadow Hierarchy,Completed,Done,Spine,,2,,FirstBU,,,,,,,Mormont,Done,6/14/18 13:23,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7016,,,,,,,
Story,AAKO-7018,1397019,6/25/18 15:13,AAKO-8074,5/4/18 1:21,Data Uploads - RAW Portal View + Remap Post: PRM-Plan to Components,In Progress,,Spine,,2,,,,,,,,,Mormont,,,AAKO - Mormont - Corbett.1,,,,Spine,,,,AAKO-7016,,,,,,,
Story,AAKO-7017,1397018,6/25/18 15:13,AAKO-8074,5/4/18 1:20,Data Uploads - RAW Portal View + Remap Post: PRM-Participant to Plan,In Progress,,Spine,,2,,,,,,,,,Mormont,,,AAKO - Mormont - Corbett.1,,,,Spine,,,,AAKO-7016,,,,,,,
Story,AAKO-7016,1397017,6/14/18 18:46,AAKO-8074,5/4/18 1:19,Data Uploads - RAW Portal View + Remap Post: PRM-Geography Master,Completed,Done,Spine,,2,,FirstBU,,,,,,,Mormont,Done,6/14/18 18:46,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7014,,,,,,,
Story,AAKO-7015,1397016,6/15/18 8:58,AAKO-8074,5/4/18 1:18,Data Uploads - RAW Portal View + Remap Post: PRM-Geo Hierarchy,Completed,Done,Spine,,2,,FirstBU,,,,,,,Mormont,Done,6/15/18 8:58,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7014,,,,,,,
Story,AAKO-7014,1397014,6/15/18 8:58,AAKO-8074,5/4/18 1:18,Data Uploads - RAW Portal View + Remap Post: PRM-Customer to Geo Individual,Completed,Done,Spine,,2,,FirstBU,,,,,,,Mormont,Done,6/15/18 8:58,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7013,,,,,,,
Story,AAKO-7013,1397013,6/14/18 18:45,AAKO-8074,5/4/18 1:16,Data Uploads - RAW Portal View + Remap Post: PRM-Customer to Geography,Completed,Done,Spine,,2,,,,,,,,,Mormont,Done,6/14/18 18:45,AAKO - Mormont - IP Sprint,,,,Spine,,,,,,,,,,,
Story,AAKO-6997,1392096,5/24/18 9:42,AAKO-3982,5/2/18 10:30,participant sales EDPY DTP,Completed,Done,Spine,,5,,PI-B,,,,,,,Stark,Done,5/24/18 9:37,Stark - Bandhavgarh.3,,,,Spine,,,,,,,,,,,
Story,AAKO-6994,1390263,6/20/18 14:57,AAKO-28,5/1/18 13:46,Participant -Credit Full Prior Year Sales for future months at processing month alignment,Open,,Spine,,,,COULD,FirstBU,,,,,,Targaryen,,,AAKO-Targaryen - C4,,,,Spine,,,,,,,,,,,
Story,AAKO-6993,1390251,6/25/18 10:31,AAKO-28,5/1/18 13:18,Analyst View of Full Year Quota (With YTD Attainment) ,Open,,Spine,,5,,Spine,,,,,,,Stark,,,AAKO - Stark - C.2,,,,Spine,,,,,,AAKO-6990,AAKO-6697,,,,
Story,AAKO-6992,1390246,6/19/18 11:31,AAKO-28,5/1/18 13:10,GEO Dynamically credit quota for future months at processing month alignment (ED),Open,,MIT,,5,,ETH,MIT,,,,,,Targaryen,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-6991,1390244,6/20/18 9:36,AAKO-28,5/1/18 13:09,Participant Credit quota for future months at processing month alignment (ED),Open,,MIT,,8,,MIT,,,,,,,Lannister,,,AAKO-Lannister - C4,,,,MIT,,,,,,AAKO-6992,,,,,
Story,AAKO-6990,1390243,6/22/18 15:48,AAKO-28,5/1/18 13:07,Participant Credit quota for future months at processing month alignment (SD) (1/2),In Progress,,Spine,,13,,MUST,Spine,,,,,,Targaryen,,,AAKO-Targaryen - C1,,,,Spine,,,,,,AAKO-6697,,,,,
Story,AAKO-6980,1389314,6/19/18 11:31,AAKO-28,5/1/18 9:12,Mitek -Dynamically credit Baseline for future months at processing month alignment,Open,,MIT,,,,MIT,,,,,,,Targaryen,,,,,,,MIT,,,,,,AAKO-6697,,,,,
Story,AAKO-6815,1376486,6/19/18 8:18,AAKO-3968,4/24/18 13:32,Extremity Specialist - True Up and Proration update (AAKO-415),Open,,Trauma,,,,,,,,,,,Targaryen,,,,,,,Trauma,,,,,,AAKO-4638,AAKO-415,,,,
Story,AAKO-6773,1376206,5/18/18 14:09,AAKO-3967,4/24/18 11:55,[TESTING] HTD Commission - Previous Earnings ,Open,,CSS,,,,,,,,,,,Lannister,,,,,,,CSS,,,,,,,,,,,
Story,AAKO-6753,1374979,5/9/18 18:16,AAKO-3963,4/24/18 8:34,Update Invoice Realignment to Cancel and Realign in Closed Periods  ,Completed,Done,Spine,,8,,PI-B,Spine,,,,,,Targaryen,Done,5/9/18 18:16,AAKO-Targaryen - Bandhavgarh.2,,,,Spine,,,,,,,,,,,
Story,AAKO-6750,1374007,6/6/18 18:55,AAKO-3971,4/23/18 14:15,Zipcode Level Sales Adjustments ,Open,,MIT,,,,Mitek,,,,,,,Targaryen,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-6749,1373385,6/6/18 18:58,AAKO-3958,4/23/18 13:34,Exceptions for Customer to Geography Primary Flag ,Open,,Trauma,,,,,,,,,,,Targaryen,,,,,,,Trauma,,,,,,AAKO-5991,,,,,
Story,AAKO-6715,1367462,4/26/18 11:44,AAKO-3983,4/19/18 9:57,B.1 Updates & Enhancements (pt 1),Completed,Done,Spine,,2,,Spine,,,,,,,Stark,Done,4/26/18 11:44,Stark - Bandhavgarh.1,,,,Spine,,,,AAKO-6310,,,,,,,
Story,AAKO-6697,1362443,6/11/18 12:08,AAKO-28,4/17/18 15:11,Dynamically credit quota for future months at processing month alignment (SD),Completed,Done,Spine,,5,,PI-B,Spine,,,,,,Targaryen,Done,5/31/18 6:53,AAKO-Targaryen - Bandhavgarh.4,,,,Spine,,,,AAKO-6695,,,,,,,
