Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Actor Name),Custom field (Actor Type),Custom field (Approval Category),Custom field (Are business resources available?),Custom field (Asset Status),Custom field (Assets Link),Custom field (BP Year),Custom field (BUIT Lead),Custom field (Business Impact Description),Custom field (Business Value),Custom field (CAR Name),Custom field (CMDB Application ID),Custom field (CO),Custom field (CR),Custom field (Country),Custom field (DARM ID),Custom field (Defect Analysis and Resolution),Custom field (Developer),Custom field (Doc ID),Custom field (Does this impact multiple regions?),Custom field (Environment Affected),Custom field (Environment Information),Custom field (Epic Link),Custom field (Estimated Asset Date),Custom field (Final Asset Delivered Date),Custom field (Final Estimated Cost (USD)),Custom field (Final Estimated Delivery Date),Custom field (Final Estimated Hours),Custom field (Flagged),Custom field (Franchise + Brand),Custom field (Funding Type),Custom field (GDDM Routing Check),Custom field (Governance Body),Custom field (Governance Contact),Custom field (Hosting Provider),Custom field (ICA),Custom field (Initial Estimated Cost (USD)),Custom field (Initial Estimated Delivery Date),Custom field (Initial Estimated Hours),Custom field (Instantis ID),Custom field (Is Campaign Related?),Custom field (Is budget available?),Custom field (Is this request in-line with the business strategy?),Custom field (Is this request in-line with the product strategy?),Custom field (Issue Resolution),Custom field (Latest Summary),Custom field (Link to Feature),Custom field (Migration Information),Custom field (Moscow),Custom field (New URL),Custom field (Number of Languages),Custom field (Number of Pages),Custom field (Number of Templates),Custom field (Owner),Custom field (PEL),Custom field (PMx Project Name),Custom field (Pharma EMEA Functional Area),Custom field (Pharma EMEA Service Change Type),Custom field (Pharma EMEA Submit for backlog refinement),Custom field (Pharma EMEA Test Strategy),Custom field (Product),Custom field (Product Line),Custom field (Proposed Action & Platform),Custom field (Rank),Custom field (Reason),Custom field (Region + Country/Market),Custom field (Requested Go Live),Custom field (Requestor),Custom field (Requirement ID),Custom field (Requirement Status),Custom field (Requirement Type),Custom field (Root Cause),Custom field (SAP Transport),Custom field (SOW/Vendor Ref),Custom field (Scope),"Custom field (Sector, Franchise & Brand)","Custom field (Sector, Product Line, Product & Approach)",Custom field (Service Specialist),Custom field (Severity),Sprint,Sprint,Custom field (Stage of Risk Identification),Custom field (Stage of Risk Impact),Custom field (Story Points),Custom field (Summarized Estimate),Custom field (System Test ID),Custom field (TP ID),Custom field (Target Resolution Date),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Team Name),Custom field (Technical Design URL),Custom field (Technical Risk),Custom field (Technical Risk Comment),Custom field (Tester),Custom field (Tier),Custom field (Traceable to business process),Custom field (UAT Test ID),Custom field (URL),Custom field (Unit Testable),Custom field (Upcoming Brand Activities),Custom field (Visualization),Custom field (Web Hosting Env),Custom field (Web Hosting Subs),Custom field (Work Type),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Create Customer Sales Adjustments - Update SD Crediting Process ,AAKO-6400,1349438,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,gsauty1,rgreleck,rgreleck,11/Apr/18 3:39 PM,08/May/18 8:37 AM,17/Jul/18 3:54 PM,08/May/18 8:37 AM,Spine,,Spine,,Targaryen,,0,DPS,PI-B,,,,,,"As a compensation analyst, I need SD Crediting Process to include the Customer Sales Adjustments.  ",,rgreleck,,,,,,,,0,,,133200,0,129600,,,,,,,,,,,,,,,,,,,,,,,"* Ensure Customer Sales Adjustment flow through SD Crediting and are aligned to the proper GEO based on Cust to GEO alignments 
* Validation that the Overrides are applied to the Customer Adjustments (moved to override GEO) 
* Ensure Customer Sales Adjustment roll up to Sales Summary Process
* Test:  Validate crediting for Adjustment which includes Account Share
",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-22,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|ht060n:,,,,,,,,,,,,,,,,AAKO-Targaryen - Bandhavgarh.2,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create Customer Sales Adjustments - Select Customer Adj - Post for Deltas  SD,AAKO-6399,1349435,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,gsauty1,rgreleck,rgreleck,11/Apr/18 3:35 PM,25/Apr/18 4:19 PM,17/Jul/18 3:54 PM,25/Apr/18 4:19 PM,Spine,,Spine,,Targaryen,,0,DPS,,,,,,,"As a compensation analyst, I need the Customer Sales Adjustment to be selected for SD Crediting Process and posted to the Delta Tables.   New Story AAKO- will be the crediting. ",,rgreleck,,,,,,,,0,,,118800,0,104400,,,,,,AAKO-6179,,,,,,,,,,,,,,,,,"New Current Customer Sales Adjustment Table 
Process to Select the Customer Sales Adjustments 
Update to Delta Table 
Validation that Sales Adjustments from Closed Processing Period (based on Dynamic crediting -  old is 2015) are not Selected
(Similar process to what is done for GEO Adjustments)",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-22,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|hz6ejj:,,,,,,,,,,,,,,,,AAKO-Targaryen - Bandhavgarh.1,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update to GEO Sales Load - Force Product,AAKO-6398,1349431,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,SShar178,rgreleck,rgreleck,11/Apr/18 3:29 PM,01/Jun/18 12:15 PM,17/Jul/18 3:54 PM,01/Jun/18 12:15 PM,Spine,,Spine,,Targaryen,,0,DPS,PI-B,,,,,,"As a compensation analyst, I need to enforce the entry of Product Level data so that Participants will be credited from GEO Sales Adjustments.  ",,rgreleck,,,,,,,,0,,,61200,0,82800,,,,,,,,,,,,,,,,,,,,,,,"Force Product Levels -  Kick out if NO level of Product Hierarchy is included.      Minimal entry is Product Line.  
System populate the upper levels of the Product Hierarchy based on the Crediting Date  - same functionality as the Customer Sales Adjustment.   
Add Validations:
Valid Product  Data (s)

 ",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-22,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|hz5nun:,,,,,,,,,,,,,,,,AAKO-Targaryen - Bandhavgarh.4,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maintain ""Dummy"" Prod Hierarchy ",AAKO-6397,1349425,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,,rgreleck,rgreleck,11/Apr/18 3:24 PM,11/Jun/18 1:17 PM,17/Jul/18 3:54 PM,,LastBu,,LastBu,,Targaryen,,0,LastBU,,,,,,,"As a compensation analyst, I need an Adjustment Prod Hierarchy to be able to store ""Dummy"" Prod Hierarchy data when a Real Product is not applicable to the adjustment. 

We are now forcing True Product Hierarchy - so may not be needed at all. ",,rgreleck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Table:  Adjustment Product Hierarchy
Portal view to mtn new Prod Hierarchy (Add, Edit)   
   Audit 
Validations: 
     Duplicates
     Cannot reference a ""Real"" Product Hierarchy from any Hierarchy Level. 
Process to add New Product Codes to Product Master 
Process to Refresh the Harmonized Product Hierarchy with new values from Adj Prd Hier.  ",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|ht079r:,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/May/18 4:02 PM;rgreleck;Changing to LastBU - will only develop this once it's needed.   Reviewed with Spine / House Martel and there is no need to have a ""dummy"" Product Hierarchy at this date. ",,,,,,,,,,,,,
Expansion Category RM and AVP Impact -Release Sales at EOY,AAKO-6377,1344790,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,SShar178,rgreleck,rgreleck,10/Apr/18 1:38 PM,17/Jul/18 2:35 PM,17/Jul/18 3:54 PM,,Spine,,Spine,,Targaryen,,0,DPS,,,,,,,"As a configuration analyst, I want the sales from the Sales Rep's Expansion Category component to roll-up to the RMs and AVPs at EOY.",,rgreleck,,,,,,,,,,,86400,14400,72000,,AAKO-10013,,,,AAKO-6376,AAKO-3864,,,,,13/Jul/18 10:49 AM;rgreleck;AAKO-6377 Adjustment for Mgt Sales Revenue at EOY (1).xlsx;https://jira.jnj.com/secure/attachment/654392/AAKO-6377+Adjustment+for+Mgt+Sales+Revenue+at+EOY+%281%29.xlsx,,,,,,,,,,,"Process: Release Adjustment at EOY (no approval) Automated Adjustment at EOY to Calculate Quota Bonus inclusive of Expansion Revenue
Pulling data from the Aggregated Expansion Sales at EOY for participant actively aligned to the Quota component. 

System automated adjustment entered in the WWID- S-Q-PY-BL Adjustment table. Entry of Sales (no rate or earnings)
 
+Regression Test:+   Rep Activity- don't roll up sales from an inactive (not on Quota Componet) to the Mgmt   - there is no new aggregation in this story.  
",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|ht06vj:k,,,,,,,,,,,,,,,,AAKO-Targaryen - C2,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expansion Category RM and AVP Impact - Roll-Up Sales and View Progress to add to VC- Analyst View,AAKO-6376,1344782,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,gsauty1,rgreleck,rgreleck,10/Apr/18 1:34 PM,24/May/18 6:50 AM,17/Jul/18 3:54 PM,24/May/18 6:50 AM,Spine,,Spine,,Targaryen,,0,DPS,PI-B,,,,,,"As a configuration analyst, I want the sales from the Sales Rep's Expansion Category component to roll-up to the RMs and AVPs.",,rgreleck,,,,,,,,0,,,115200,0,93600,,,,,,AAKO-3864,,,,,,,,,,,,,,,,,"For Participant's with the New Metric - created in AAKO-3864 and have the Plan/Component association.
2) * Data Transformation to roll-up sales for Tracking performance - For Stark pulling from YTD Process: Take (active on Quota) Rep Tables at EOY which are aligned to RM - Aggregate Sales for RM - Dynamic YTD aggregation Roll-up is from active Rep not Territory

Process: Roll-up RM Quota Expansion Sales at EOY which are aligned to AVP- Aggregate Sales for AVP - Roll-up is from active Rep not Territory
aggregation of Dynamic Expansion Category Sales",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-4099,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|hyy7dr:,,,,,,,,,,,,,,,,AAKO-Targaryen - Bandhavgarh.3,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/Apr/18 10:28 AM;rgreleck;Decided to merge 3864 and this story together  -   development in 3864 is total 8 pts for both dev efforts. ,24/May/18 6:50 AM;rgreleck;Created BUG AAKO-7526 for fixing roll-up when there is a change in Primary BU ,,,,,,,,,,,,
Quota Attainment: REP Level Core + Expansion Category  (EOY Add Sales to Core),AAKO-6375,1344764,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,APatank2,rgreleck,rgreleck,10/Apr/18 1:25 PM,16/Jul/18 3:11 PM,17/Jul/18 3:54 PM,16/Jul/18 3:11 PM,Spine,,Spine,,Targaryen,,0,DPS,,,,,,,"As a Configuration Analyst, I want the system to Add the Expansion Category Revenue to the Participant's Core Sales at EOY when calculating Quota Attainment in order to boost their sales and compensate full performance.

Split out from AAKO-434 ",,rgreleck,,,,,,,,0,,,122400,0,108000,,AAKO-10013,,,,AAKO-434,,,,,,20/Apr/18 11:23 AM;rgreleck;AAKO-6375 - Quota Snapshot Adjustment with Earning Amt.xls;https://jira.jnj.com/secure/attachment/564796/AAKO-6375+-+Quota+Snapshot+Adjustment+with+Earning+Amt.xls,,,,,,,,,,,"1)Process: Release Adjustment at EOY (no approval) Automated Adjustment at EOY to Calculate Quota Bonus inclusive of Expansion Revenue
Pulling data from the Aggregated Expansion Sales at EOY for participant actively aligned to the Quota component. 

2) Calculate the Earning for the Snapshot Adjustment:  Use the Rate Basis * Expansion Category Sales associated with Quota Attainment Component for the WWID's Primary BU/Primary GEO  Effective on last day of Fiscal Month - December.    System automatd adjustment entered in the WWID- S-Q-PY-BL Adjustment table.  Entry of Sales, Rate Basis and Earnings

+*Update:*+ Earning for the Snapshot Adjustment uses the +*[Rate Basis]*+ * +*{color:red}[Sales Split %]{color}*+ * +*[Expansion Category Sales]*+ associated with Quota Attainment Component for the WWID's Primary BU/Primary GEO  Effective on last day of Fiscal Month - December

(See Attachment -   Validation to use the Rate Basis * Sales)
Adjustment Code:  Expansion Category Sales
",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-4099,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|ht06vj:i,,,,,,,,,,,,,,,,AAKO-Targaryen - C2,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer to Geography Primary Flag - Ethicon Process  (4),AAKO-6334,1331571,Story,Open,AAKO,PAYDAY ,software,mmarsh3,,,High,,,rgreleck,rgreleck,05/Apr/18 9:58 AM,23/Apr/18 12:28 PM,17/Jul/18 3:54 PM,,ETH,,ETH,,Targaryen,,0,Ethicon,,,,,,,"As a data assurance analyst, I need to know which Geography is the Customer's primary Geo in order to know which Customer to GEO alignment to return to ERP system and handle properly for the Ethicon structure.",,rgreleck,,,,,,,,,,,,,,,,,,,AAKO-6332,AAKO-5991,,,,,,,,,,,,,,,,"See:  AAKO-5991 (Portal&tables),  AAKO-6332 (Non-Ethicon Workflow),  AAKO-6333 (Sox)
Story Points is based on allowing the user to update the Primary Flag - vs system setting it. 
Update process for Bulk Upload of Ethicon alignments to the Ship To level?   (needs analysis)   
Update to Ethicon Workflow  Display and carry forward Primary Flag - and their Portal Views:  Admin, RM, DA   
-- Alignment is at a higher level (Individual) and then the system breaks down to the Ship To.
-- Alignment is also available at the Ship To level.   
TBD:  Should Ethicon be included in the Validation for Primary Flag
",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|ht075z:,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer to Geography Primary Flag - SOX ,AAKO-6333,1331562,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,AGupt143,rgreleck,rgreleck,05/Apr/18 9:55 AM,22/May/18 5:11 PM,17/Jul/18 3:54 PM,22/May/18 5:11 PM,Spine,,Spine,,Targaryen,,0,PI-B,Spine,,,,,,"As a data assurance analyst, I need to know which Geography is the Customer's primary Geo in order to know which Customer to GEO alignment to return to ERP system. and Capture SOX data",,rgreleck,,,,,,,,0,,,68400,0,36000,,,,,,AAKO-5991,,,,,,,,,,,,,,,,,"* Update SOX Comparison Process to track change in Primary Flag.  Field for New Primary
* Update Audit Tables SOX and Freeze
* Update Audit Portal View",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3958,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|hyy7db:,,,,,,,,,,,,,,,,AAKO-Targaryen - Bandhavgarh.3,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer to GEO Primary Flag Workflow,AAKO-6332,1331553,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,smukhe56,rgreleck,rgreleck,05/Apr/18 9:49 AM,01/Jun/18 3:44 PM,17/Jul/18 3:54 PM,01/Jun/18 3:44 PM,Spine,,Spine,,Targaryen,,0,PI-B,Spine,,,,,,"As a data assurance analyst, I need to know which Geography is the Customer's primary Geo in order to know which Customer to GEO alignment to return to ERP system - include data in Workflow.",,rgreleck,,,,,,,,0,,,226800,0,115200,,,,,,AAKO-5991,,,,,,,,,,,,,,,,,"Split into 3 stories:   1) Portal View w/table updates  AAKO-5991  2)  Workflow  3) SOX 

* Workflows needed to be updated:     *Display and carry forward the Primary Flag - but do not allow change.  
 Update of each Workflow View:  Deployment Analyst, RM Requestor, Alignment Supervisor, Admin  
 ",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3958,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|ht07av:,,,,,,,,,,,,,,,,AAKO-Targaryen - Bandhavgarh.4,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/May/18 2:13 PM;rgreleck;Just invite Joe and Neslie to Demo,08/May/18 9:36 AM;rgreleck;Reviewed with Rick 5-7-18:  He is fine with the process of not including the ability to update the Primary Flag in the Workflow.  ,,,,,,,,,,,,
an approval workflow to approve all Payment Adjustments,AAKO-6323,1326882,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,colson8,colson8,colson8,04/Apr/18 1:46 PM,16/May/18 9:55 AM,17/Jul/18 3:54 PM,16/May/18 9:55 AM,Spine,,Spine,,Mormont,,0,FirstBU,PI-B,,,,,,"As a Payout Manager, I need an approval workflow to approve payment adjustments.  
   
The routing should go to the Payout Managers depending on the primary BU of the participant impacted by the change (or the territory's primary BU).

The approval workflow is only required when the dollar amount is above a specific amount (different amounts for earnings, payments, and prior year adjustments.)

Threshold to trigger a PREVENTATIVE manager approval: Adjustment with an absolute value of $15,000; all Adjustments must be included in the DETECTIVE approvals


FYI: Pay Adjustment build story was #AAKO-3216
",,colson8,,,,,,,,0,,,115200,0,68400,,,,AAKO-4871,,,,,,,,26/Apr/18 12:32 PM;colson8;screenshot-1.png;https://jira.jnj.com/secure/attachment/571299/screenshot-1.png,,,,,,,,,,,"As a Payout Manager, I need an approval workflow to approve payment adjustments.  
   
The routing should go to the Payout Managers depending on the primary BU of the participant impacted by the change (or the territory's primary BU).

The approval workflow is only required when the dollar amount is above a specific amount (different amounts for earnings, payments, and prior year adjustments.)

Threshold to trigger a PREVENTATIVE manager approval: Adjustment with an absolute value of $15,000; all Adjustments must be included in the DETECTIVE approvals


FYI: Pay Adjustment build story was #AAKO-3216
",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-2277,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|hyq4z3:,,,,,,,,,,,,,,,,AAKO - Mormont - Bandhavgarh.3,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/Apr/18 1:56 PM;colson8;1) Who is submitting (roles?)?
2) Who are the approvers (L1, L2, etc) & # levels?
3) Status Types (Approve, Reject, in-line edit w/ approval)
4) Payment Adjustment vs Payment Override - do we also need override approval WF? Is this the same approval chain? Will require additional DT",,,,,,,,,,,,,
an approval workflow to approve all Sales Adjustments,AAKO-6322,1326881,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,colson8,colson8,colson8,04/Apr/18 1:45 PM,10/Jul/18 8:32 AM,17/Jul/18 3:54 PM,10/Jul/18 8:32 AM,Spine,,Spine,,Mormont,,0,FirstBU,PI-B,,,,,,"As a Payout Manager, I need an approval workflow to approve all sales adjustments.     
The routing should go to Payout Manager on the primary BU of the participant impacted by the change (or the territory's primary BU).
The approval workflow is only required when the dollar amount is above a specific amount ($100,000)


*UPDATE* based on design scope assessment, this story is now just for the TRANSACTION-LEVEL sales adjustments (DPY, SYN, ETH, CSS). Customer/Zip and Geo SAs will require additional stories.
",,colson8,,,,,,,,0,,,169200,0,169200,,,,AAKO-4871,,,,,,,,,,,,,,,,,,,"Comp Analyst is able to enter Sales Adjustments (Sales $ and Units/Qty) at a BU-Customer, Geo or Zip level with Product Hierarchy.and period

THRESHOLDS: 
A Parameter table (please ask Optymyze for link/name of this table) is used to set $ Thresholds of Preventative Approvals at a BU-Salesforce level. The Default is $100k, but for cases like Recon Distributors (aka Recon or Joint Recon Indirect), they need _ability_ to set threshold different between their Direct and Distributor salesforces.

If absolute value of Adjustment falls under the threshold amount, the Sales are automatically picked up and used in the system.

If they meet/exceed the threshold, then Preventative Approvals are initiated, and the Primary BU Payout Manager must approve before it is used in the system",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-2277,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|ht0jie:i,,,,,,,,,,,,,,,,AAKO - Mormont - Corbett.2,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/May/18 3:30 PM;colson8;QUESTION: 

Transaction level Sales Adjustments (i.e. simulating a txn): should this be considered similar to a ""manual sales feed"" and be sent to the DATA ASSURANCE MANAGER for approval? Or, should it stick with the Business Group?",,,,,,,,,,,,,
Build Process to for Uploading Documents and Visibility in Portal,AAKO-6320,1327214,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,LLaGuerr,choffm12,szlockie,04/Apr/18 1:20 PM,26/Apr/18 11:43 AM,17/Jul/18 3:54 PM,26/Apr/18 11:43 AM,Spine,,Spine,,Stark,,0,DPS,FirstBU,,,,,,"As an internal rep, I want to be able to upload and specifiy location/visibilityof documents of several types, and have them visible to the correct FSO users. ",,szlockie,,,,,,,,0,,,104400,0,104400,,,,AAKO-5041,,,,,,,,13/Apr/18 5:35 AM;ovaleanu;Design.xlsx;https://jira.jnj.com/secure/attachment/557282/Design.xlsx,,,,,,,,,,,"1)  Internal analyst should be able to navigate and select documents they want to upload (could be Word, PPT, PDF, Excel, etc)
2) Internal analysts should have ability to specify title visible for the document to the FSO users
3) They should be able to designate the specific location within the JJMD max portal that the document will be visible 
4) They should be able to select the BU that has visibility to the document
5) They should be able to select the roles within that BU that have visibility to the document
6) They should have ability to select WWIDs to exclude/include (would override #s 4 & 5)
7) Should be able to select the date that the documents will be visible 
8) Should be able to have the ability to delete/add documents after upload
Scenarios: 
1. Payout Analyst wants to send notification/upload document to ALL BU's
2. Payout Analyst wants to send notification/upload document to Specific BU's
3. Payout Analyst wants to send notification/upload document to ALL Roles
4. Payout Analyst wants to send notification/upload document to Specific Roles
5. Payout Analyst wants to send notification/upload document to ALL plans irrespective of WWID or BU
6. Payout Analyst wants to send notification/upload document to Specific plans irrespective of WWID or BU
7.Payout Analyst wants to send notifications/uplaod documents to specific WWID's
8. RM/AVP wants to send notification/upload document to ALL reportees rolling under him
9. RM/AVP wants to send notification/upload document to Specific reportees rolling under him",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3983,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|ht2w3b:,,,,,,,,,,,,,,,,Stark - Bandhavgarh.1,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expansion Category:  Setup Parameters to link Exp Component to Quota Component,AAKO-6314,1326955,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,gsauty1,rgreleck,rgreleck,04/Apr/18 12:27 PM,20/Apr/18 9:41 AM,17/Jul/18 3:54 PM,20/Apr/18 9:41 AM,Spine,,Spine,,Targaryen,,0,FirstBU,,,,,,,"I need a configurable method to link Expansion Category Components to the Quota Component in order to know which Sales to bring into the Quota Component at EOY. 

1)  Setup Parameters to link the ""Quota"" Component to the Expansion Sales Components
*            Connect  (1 or more) Plan/Component to another Plan/Component to indicate when to add the Expansion Sales to the Snapshot Quota Attainment at EOY ",,rgreleck,,,,,,,,0,,,93600,0,86400,,,,,,,,,,,,,,,,,,,,,,,* new Table to link Components,,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-4099,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|hyy7fr:,,,,,,,,,,,,,,,,AAKO-Targaryen - Bandhavgarh.1,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.1 Updates & Enhancements (pt 2) - Invoice Realignment,AAKO-6310,1325269,Story,Completed,AAKO,PAYDAY ,software,mmarsh3,,,High,Done,szlockie,szlockie,szlockie,04/Apr/18 10:55 AM,07/May/18 11:32 AM,17/Jul/18 3:54 PM,07/May/18 11:32 AM,Spine,,Spine,,Stark,,0,Spine,,,,,,,"Cosmetic changes to update labels, descriptions, etc for clarity and business understanding
",,sabdulla,szlockie,,,,,,,0,,,25200,0,25200,,,,AAKO-6204,,,,,,,,04/Apr/18 10:58 AM;szlockie;Sales Split Tool Buttons - Hide.jpg;https://jira.jnj.com/secure/attachment/548611/Sales+Split+Tool+Buttons+-+Hide.jpg,,,,,,,,,,,"Changes are required as priority - raised by CB

1) Correct ""Invoice Realigned?"" column in ""All My Aligned Sales"" to accurately reflect any invoices moved via the IR Tool. 
2) Once #1 is complete, the ""Invoice Realigned?"" column will need to be added to all drill-downs in comp progress dashboard 

Note that the ""Quota"" drill-down in the Quota/Attainment section should not include this column as it's not applicable. However, the ""Sales"" drill down for that component should display it.
",,,NONE,,,,,,,,,,,,,,,,,,,,AAKO-3983,,,,,,,,,,,,,,,,,,,,,,Done,,,,,,,,,,,,,,,,,,,1|ht2vzj:,,,,,,,,,,,,,,,,Stark - Bandhavgarh.2,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/Apr/18 9:28 AM;sabdulla;[~ovaleanu][~KMuthum] Discuss the archival process and make it is as part of the scope for this story. ,"17/Apr/18 3:35 PM;szlockie;#3 and #3a from 4/17 discussion with Iris, Chris & Shah. Per Iris' note: 
•	All Invoice Realigned transaction whether via the IR tool or override option need to be tagged(?) so they appear in All My Aligned Sales and any I/C statement drilldowns for the rep and the payouts team.

Note that during conversation, any overrides (DDD, etc) are not critical and do not need to be included/indicated. Just realigned invoices from IR tool.

- Verifying the urgency for this fix with House Martell.",,,,,,,,,,,,
